t,N45,N32,N35,N36
0,0,0,0,0
15,34.6975089,43.95017794,35.58718861,51.60142349
30,49.28825623,64.41281139,55.87188612,69.03914591
45,59.25266904,73.48754448,62.63345196,77.58007117
60,68.32740214,80.96085409,70.28469751,83.98576512
75,72.59786477,82.20640569,72.77580071,88.4341637
90,76.8683274,85.58718861,75.44483986,91.99288256
105,80.24911032,88.4341637,77.93594306,95.37366548
120,83.62989324,90.56939502,78.29181495,97.5088968
150,87.01067616,90.74733096,80.78291815,97.68683274
180,88.79003559,90.03558719,80.96085409,97.5088968
210,89.6797153,92.34875445,80.42704626,98.22064057
